ADM_RATE,AGE_ENTRY,AVGFACSAL,CITY,CONTROL,COSTT4_A,ENDOWBEGIN,FEMALE,FIRST_GEN,GRAD_DEBT_MDN,HBCU,HSI,ICLEVEL,INSTNM,INSTURL,MD_EARN_WNE_P10,NANTI,OPEID,PCIP13,PCIP14,PCIP27,PCIP52,PCT_ASIAN,PCT_BLACK,PCT_HISPANIC,PCT_WHITE,PCTPELL,PFTFAC,PREDDEG,RELAFFIL,SAT_AVG,SCH_DEG,STABBR,UGDS,UGDS_MEN,UGDS_WOMEN,UGDS_2MOR,UGDS_AIAN,UGDS_ASIAN,UGDS_BLACK,UGDS_HISP,UGDS_NHPI,UGDS_NRA,UGDS_UNKN,UGDS_WHITE,LATITUDE,LONGITUDE,date
0.716,20.283741368,8779,Normal,1,21924,NULL,0.5640301318,0.3658280922,31000,1,0,1,Alabama A & M University,www.aamu.edu/,39059,0,00100200,0.0391,0.121,0.0089,0.1637,1.48000001907348,47.9799995422363,3.78999996185302,46.8400001525878,0.6853,0.6833,3,NULL,954,3,AL,5098,0.406,0.594,0.0108,0.0027,0.0014,0.8978,0.0114,0.001,0.0086,0.0479,0.0184,34.783368,-86.568502,2024-06-13
0.8854,23.60797466,11590,Birmingham,1,26248,539858544,0.6390907397,0.341223671,22300,0,0,1,University of Alabama at Birmingham,https://www.uab.edu/,50907,0,00105200,0.0667,0.0559,0.0111,0.2159,1.10000002384185,27.7600002288818,2.02999997138977,69.0199966430664,0.3253,0.7564,3,NULL,1266,3,AL,13284,0.379,0.621,0.0483,0.0021,0.0767,0.2458,0.0669,0.0004,0.0233,0.0068,0.5297,33.505697,-86.799345,2024-06-13
0.7367,22.727919632,9820,Huntsville,1,24869,75837207,0.4763499372,0.3101321586,20705,0,0,1,University of Alabama in Huntsville,www.uah.edu/,56901,0,00105500,0.0218,0.3028,0.0091,0.193,1.41999995708465,18.9799995422363,2.54999995231628,76.3799972534179,0.2377,0.6538,3,NULL,1300,3,AL,7358,0.5953,0.4047,0.0446,0.008,0.0357,0.0871,0.061,0.0012,0.0166,0.0261,0.7196,34.724557,-86.640449,2024-06-13
0.9799,20.130990415,7701,Montgomery,1,21938,111315175,0.6134185304,0.3434343434,31000,1,0,1,Alabama State University,www.alasu.edu/,34018,0,00100500,0.0589,0.0138,0.0138,0.1513,1.40999996662139,52.3199996948242,4.09000015258789,42.6899986267089,0.7205,0.6812,3,NULL,955,3,AL,3495,0.3505,0.6495,0.0132,0.0017,0.002,0.9259,0.0129,0.0014,0.0166,0.0112,0.0152,32.364317,-86.295677,2024-06-13
0.789,21.137701396,10509,Tuscaloosa,1,31050,939393269,0.6152524168,0.2257126887,22750,0,0,1,The University of Alabama,www.ua.edu/,56118,0,00105100,0.0262,0.1198,0.0088,0.2916,1.20000004768371,21.0599994659423,2.41000008583068,75.3499984741211,0.1712,0.7753,3,NULL,1244,3,AL,30725,0.4385,0.5615,0.0356,0.0037,0.0137,0.105,0.0549,0.0008,0.0127,0.006,0.7676,33.211875,-87.545978,2024-06-13
NULL,23.071028037,6523,Alexander City,1,13930,433325,0.6037383178,0.5496760259,9766,0,0,2,Central Alabama Community College,www.cacc.edu/,33095,0,00100700,0,0,0,0.0886,0.2199999988079,26.8999996185302,1.00999999046325,71.5100021362304,0.2982,0.3824,2,NULL,NULL,2,AL,940,0.3915,0.6085,0.034,0.0021,0.0021,0.1947,0.0287,0,0.0064,0.0074,0.7245,32.92478,-85.945266,2024-06-13
NULL,30.384765625,8834,Athens,1,NULL,4496491,0.705078125,0.4774964838,18051,0,0,1,Athens State University,www.athens.edu/,45311,0,00100800,0.2754,0,0.0174,0.3957,0.64999997615814,12.2600002288818,2.40000009536743,83.8899993896484,0.4036,0.4554,3,NULL,NULL,3,AL,2511,0.2951,0.7049,0.0307,0.0131,0.0056,0.1243,0.0426,0.0004,0.0008,0.0191,0.7634,34.806793,-86.964698,2024-06-13
0.968,22.199804114,7885,Montgomery,1,20621,52113787,0.6929480901,0.38189609,25000,0,0,1,Auburn University at Montgomery,www.aum.edu/,43743,0,00831000,0.0634,0,0.0069,0.1476,0.91000002622604,37.2099990844726,1.62000000476837,59.9700012207031,0.4821,0.6901,3,NULL,1069,3,AL,3742,0.3314,0.6686,0.0371,0.004,0.0283,0.4487,0.0131,0.0011,0.0484,0.0064,0.4129,32.36736,-86.177544,2024-06-13
0.7118,20.516795866,11093,Auburn,1,32678,784621493,0.531504671,0.1726471191,21000,0,0,1,Auburn University,www.auburn.edu/,61042,0,00100900,0.0457,0.1897,0.0068,0.2377,1.64999997615814,19.7999992370605,2.89000010490417,75.9000015258789,0.1301,0.8436,3,NULL,NULL,3,AL,24782,0.5047,0.4953,0.0281,0.0027,0.0238,0.0461,0.0382,0.0005,0.0396,0.0028,0.8181,32.599378,-85.488258,2024-06-13
0.6591,19.64479638,7636,Birmingham,2,33920,49403369,0.520361991,0.1724941725,25000,0,0,1,Birmingham-Southern College,www.bsc.edu/,55236,0,00101200,0.0536,0.0077,0.0421,0.2759,1.38999998569488,17.4099998474121,2.46000003814697,78.9000015258789,0.2152,0.8295,3,71,1214,3,AL,1048,0.4895,0.5105,0.0095,0.0038,0.0258,0.1603,0.0573,0,0.0143,0,0.729,33.513774,-86.850552,2024-06-13
NULL,24.81025641,6452,Phenix City,1,9320,49698,0.611965812,0.4302670623,10500,0,0,2,Chattahoochee Valley Community College,https://www.cv.edu/,32075,0,01218200,0,0,0,0.0211,0.85000002384185,38.6800003051757,2.85999989509582,57.5299987792968,0.4568,0.3053,1,NULL,NULL,2,AL,1107,0.3406,0.6594,0.0614,0.0018,0.0063,0.4833,0.0641,0.0027,0.0036,0.0361,0.3406,32.42391,-85.031485,2024-06-13
NULL,23.948815166,8764,Enterprise,1,9454,17187,0.5165876777,0.4218916047,7499,0,0,2,Enterprise State Community College,www.escc.edu/,40851,0,00101500,0,0,0,0.1106,1.20000004768371,21.0499992370605,3.25999999046325,74.0800018310547,0.3709,0.4672,2,NULL,NULL,2,AL,1336,0.5277,0.4723,0.0539,0.0075,0.0075,0.1991,0.0584,0.0015,0.0067,0.0457,0.6198,31.297496,-85.836956,2024-06-13
NULL,23.501064801,7345,Bay Minette,1,12881,NULL,0.6531791908,0.4351196495,11000,0,0,2,Coastal Alabama Community College,www.coastalalabama.edu/,34057,0,00106000,0,0,0,0.0384,0.76999998092651,20.2999992370605,1.55999994277954,76.1699981689453,0.3142,0.3761,2,NULL,NULL,2,AL,5217,0.3592,0.6408,0.0447,0.0155,0.0073,0.2375,0.0339,0.0004,0.0046,0.0165,0.6396,30.851343,-87.778193,2024-06-13
0.646,28.260475651,6271,Montgomery,2,36457,17838794,0.6387315968,0.4300319489,23000,0,0,1,Faulkner University,www.faulkner.edu/,41523,0,00100300,0.0256,0,0.0128,0.4987,1.04999995231628,31.8899993896484,1.80999994277954,64.8799972534179,0.461,0.5511,3,74,1042,3,AL,1696,0.4287,0.5713,0.0265,0.0018,0.0118,0.4133,0.0318,0.0029,0.0313,0.0206,0.4599,32.384181,-86.21641,2024-06-13
NULL,23.64507772,6832,Gadsden,1,10619,3610956,0.6180606958,0.5149544863,PrivacySuppressed,1,0,2,Gadsden State Community College,www.gadsdenstate.edu/,31346,0,00101700,0,0,0,0.0429,0.44999998807907,16.829999923706,2.17000007629394,80.3899993896484,0.4522,0.4941,2,NULL,NULL,1,AL,3513,0.3746,0.6254,0.0333,0.0026,0.0043,0.2024,0.0603,0.0014,0.008,0.0065,0.6812,33.994001,-85.991438,2024-06-13
NULL,23.866083755,6455,Dothan,1,8791,167860,0.667740451,0.4851537646,PrivacySuppressed,0,0,2,George C Wallace Community College-Dothan,www.wallace.edu/,31116,0,00101800,0,0,0,0.0542,0.57999998331069,27.7600002288818,1.91999995708465,69.3300018310547,0.4331,0.6443,1,NULL,NULL,2,AL,3191,0.2977,0.7023,0.0382,0.0025,0.0081,0.3231,0.0533,0.0006,0.0019,0.0179,0.5544,31.315274,-85.465836,2024-06-13
NULL,23.447604328,7650,Hanceville,1,13196,NULL,0.6312210201,0.498813157,11000,0,0,2,George C Wallace State Community College-Hanceville,https://www.wallacestate.edu/,36677,0,00787100,0,0,0,0.0366,0.31999999284744,6.61999988555908,2.54999995231628,90.5699996948242,0.3989,0.4066,1,NULL,NULL,2,AL,4303,0.3233,0.6767,0.0265,0.006,0.0072,0.0734,0.0785,0.0005,0.0063,0.0035,0.798,34.072439,-86.781935,2024-06-13
NULL,22.870995671,6309,Selma,1,9102,NULL,0.5991341991,0.5125881168,PrivacySuppressed,0,0,2,George C Wallace State Community College-Selma,https://www.wccs.edu/,27232,0,00569900,0,0,0,0.0093,0.33000001311302,55.3199996948242,1.11000001430511,43.1500015258789,0.497,0.5049,2,NULL,NULL,2,AL,942,0.3323,0.6677,0.0202,0,0.0074,0.7834,0.0138,0,0.0042,0.0064,0.1645,32.445917,-87.013294,2024-06-13
0.9385,31.289940828,6644,Birmingham,2,31202,NULL,0.8135465189,0.5209032652,21500,0,0,1,Herzing University-Birmingham,https://www.herzing.edu/,34238,0,00962107,0,0,0,0.0498,1.89999997615814,11.6300001144409,5.6100001335144,81.8399963378906,0.6748,0.5161,1,NULL,NULL,2,AL,608,0.2336,0.7664,0.0214,0.0016,0.0066,0.6151,0.0263,0.0016,0,0.0214,0.3059,33.468466,-86.832465,2024-06-13
0.693,23.017751479,7133,Montgomery,2,39177,51910937,0.4704142012,0.3456,27000,0,0,1,Huntingdon College,www.huntingdon.edu/,47328,0,00101900,0.0328,0,0.0082,0.3525,0.93000000715255,23.6700000762939,1.90999996662139,73.1999969482422,0.3946,0.7975,3,71,1111,3,AL,838,0.5513,0.4487,0.043,0.0048,0.0072,0.2017,0.0632,0,0,0.0203,0.6599,32.351034,-86.284366,2024-06-13
NULL,27.254901961,6085,Huntsville,1,11544,NULL,0.5610859729,0.5899653979,PrivacySuppressed,1,0,2,J. F. Drake State Community and Technical College,https://www.drakestate.edu/,28569,0,00526000,0,0,0,0.1053,1.29999995231628,33.2900009155273,2.1800000667572,61.9900016784668,0.4521,0.5,1,NULL,NULL,1,AL,688,0.4186,0.5814,0.0436,0.0131,0.0073,0.6686,0.0349,0.0015,0.0044,0.0015,0.2253,34.771858,-86.572885,2024-06-13
NULL,36.403669725,5888,Deatsville,1,6084,NULL,0.2293577982,0.4918032787,PrivacySuppressed,0,0,2,J F Ingram State Technical College,www.istc.edu/,NULL,0,03002500,0,0,0,0.2697,NULL,NULL,NULL,NULL,0.1805,1,1,NULL,NULL,1,AL,400,0.7575,0.2425,0.0025,0,0,0.5475,0.01,0.0025,0.0025,0,0.435,32.582312,-86.392369,2024-06-13
0.7634,22.62058319,7499,Jacksonville,1,22023,13976189,0.5886792453,0.3637702504,22189,0,0,1,Jacksonville State University,www.jsu.edu/,41504,0,00102000,0.0629,0,0.0089,0.1394,0.6700000166893,19.7000007629394,2.66000008583068,76.9599990844726,0.4109,0.6823,3,NULL,1030,3,AL,6992,0.3923,0.6077,0,0.0054,0.0064,0.2541,0.0037,0.0014,0.0159,0.087,0.626,33.822938,-85.765321,2024-06-13
NULL,24.418235877,6996,Birmingham,1,14975,1388586,0.660555005,0.4502907782,9689,0,0,2,Jefferson State Community College,www.jeffersonstate.edu/,37250,0,00102200,0,0,0,0.1881,0.80000001192092,26.6900005340576,1.80999994277954,70.6399993896484,0.2826,0.3566,2,NULL,NULL,2,AL,6143,0.356,0.644,0.0273,0.0021,0.0192,0.2559,0.0698,0,0.016,0.0114,0.5982,33.652535,-86.707233,2024-06-13
NULL,23.856652164,7044,Tanner,1,11507,7643394,0.5809480192,0.455343703,12000,0,0,2,John C Calhoun State Community College,https://calhoun.edu/,34208,0,00101300,0,0,0,0.0912,1.14999997615814,19.3700008392334,2.54999995231628,75.8499984741211,0.2705,0.3652,1,NULL,NULL,2,AL,6795,0.4321,0.5679,0.0565,0.0132,0.0212,0.1812,0.0846,0.001,0.0079,0.0107,0.6235,34.645844,-86.949674,2024-06-13
NULL,23.384028892,6854,Birmingham,1,13864,586222,0.5682182986,0.4747231584,PrivacySuppressed,1,0,2,Lawson State Community College,www.lawsonstate.edu/,30135,0,00105900,0,0,0,0.0627,0.47999998927116,64.4899978637695,1.37999999523162,33.5200004577636,0.6149,0.4643,2,NULL,NULL,1,AL,2779,0.3383,0.6617,0.0306,0.0014,0.0018,0.8035,0.0338,0,0.0036,0.0029,0.1223,33.450814,-86.888844,2024-06-13
0.7433,22.259482759,6730,Livingston,1,22525,428958,0.5577586207,0.403210576,24944,0,0,1,University of West Alabama,www.uwa.edu/,38617,0,00102400,0.1532,0,0.013,0.1325,0.40000000596046,42.4799995422363,1.71000003814697,55.4900016784668,0.5294,0.4596,3,NULL,1017,3,AL,2310,0.3043,0.6957,0.0173,0.0117,0.0017,0.3866,0.0225,0.0004,0.0286,0.084,0.4472,32.588132,-88.186329,2024-06-13
NULL,22.778191985,6654,Andalusia,1,14826,NULL,0.624417521,0.5203426124,PrivacySuppressed,0,0,2,Lurleen B Wallace Community College,https://www.lbwcc.edu/,30423,0,00898800,0,0,0,0.0229,0.28999999165534,23.579999923706,1.17999994754791,74.4499969482422,0.3926,0.6942,2,NULL,NULL,2,AL,1129,0.349,0.651,0.0363,0.0044,0.0062,0.2436,0.0257,0,0.0009,0.0018,0.6811,31.322947,-86.452262,2024-06-13
0.4535,19.670212766,6652,Marion,1,18568,3592219,0.2340425532,0.2338028169,9250,0,0,2,Marion Military Institute,www.marionmilitary.edu/,50097,0,00102600,0,0,0,0,1.62000000476837,21.4200000762939,7.42999982833862,72.2699966430664,0.3566,0.84,2,NULL,1146,2,AL,314,0.7389,0.2611,0.0541,0.0096,0.0318,0.2134,0.0732,0.0064,0,0.0159,0.5955,32.623734,-87.322041,2024-06-13
NULL,21.322740113,4917,Fairfield,2,22857,24402543,0.4668079096,0.4164588529,31217,1,0,1,Miles College,www.miles.edu/,30847,0,00102800,0.0098,0,0.0098,0.3431,0.93999999761581,60.7200012207031,2.81999993324279,35.8800010681152,0.7826,0.6964,3,55,NULL,3,AL,1517,0.4661,0.5339,0,0.0007,0,0.9426,0.0092,0,0,0.0132,0.0343,33.482442,-86.908751,2024-06-13
0.6409,23.917989418,5411,Mobile,2,37823,17265742,0.6732804233,0.3242857143,26500,0,0,1,University of Mobile,www.umobile.edu/,43640,0,00102900,0.0833,0,0.0042,0.1333,1.02999997138977,25.1000003814697,2.31999993324279,71.0400009155273,0.2869,1,3,75,NULL,3,AL,1112,0.3435,0.6565,0.0207,0.0225,0.0171,0.1592,0.0036,0.0171,0.0351,0.08,0.6448,30.793247,-88.128934,2024-06-13
0.9009,21.02364532,7518,Montevallo,1,26709,24840444,0.6827586207,0.3252375924,24000,0,0,1,University of Montevallo,www.montevallo.edu/,40439,0,00100400,0.1088,0,0.0185,0.1736,0.75999999046325,19.2999992370605,2.07999992370605,77.8000030517578,0.395,0.6414,3,NULL,1131,3,AL,2184,0.3608,0.6392,0.0398,0.0032,0.0073,0.1694,0.06,0.0014,0.033,0.0179,0.668,33.10625,-86.865099,2024-06-13
NULL,23.102762967,6636,Muscle Shoals,1,9617,759027,0.6180319922,0.5141117875,10000,0,0,2,Northwest-Shoals Community College,https://www.nwscc.edu/,33630,0,00569700,0,0,0,0.0114,0.28000000119209,11.1599998474121,2.23000001907348,85.7900009155273,0.3699,0.4885,1,NULL,NULL,2,AL,2095,0.3709,0.6291,0.032,0.0067,0.0043,0.1169,0.0893,0.0005,0.0048,0.0019,0.7437,34.739788,-87.678089,2024-06-13
0.8997,21.425309598,8567,Florence,1,21507,39458675,0.6013931889,0.36326024,22077,0,0,1,University of North Alabama,www.una.edu/,42601,0,00101600,0.0958,0,0.0048,0.2415,0.55000001192092,13.2200002670288,2.04999995231628,83.7600021362304,0.3409,0.659,3,NULL,NULL,3,AL,5165,0.3636,0.6364,0.0379,0.0052,0.0114,0.121,0.0426,0.0006,0.0403,0.0066,0.7344,34.806738,-87.681361,2024-06-13
NULL,22.996347699,7228,Rainsville,1,9260,4181,0.6026296567,0.5827759197,6100,0,0,2,Northeast Alabama Community College,https://www.nacc.edu/,34507,0,00103100,0,0,0,0.0171,0.2199999988079,2.56999993324279,2.86999988555908,92.6299972534179,0.3913,0.3841,1,NULL,NULL,1,AL,1565,0.3272,0.6728,0.0658,0.0166,0.0058,0.0256,0.1482,0.0006,0.0096,0.0013,0.7265,34.545471,-85.911664,2024-06-13
0.7185,21.73015873,5011,Huntsville,2,37238,20201402,0.5860805861,0.17623498,27000,1,0,1,Oakwood University,https://www2.oakwood.edu/,41219,0,00103300,0.0076,0,0.0152,0.1742,3.17000007629394,34.9099998474121,10.0100002288818,54.4000015258789,0.472,0.9492,3,95,NULL,3,AL,1353,0.4339,0.5661,0.0273,0.0015,0.0007,0.8004,0.0828,0.0007,0.0806,0.0044,0.0015,34.756344,-86.652705,2024-06-13
NULL,25.61852861,6814,Evergreen,1,8598,NULL,0.7411444142,0.5903225806,PrivacySuppressed,0,0,2,Reid State Technical College,www.rstc.edu/,28816,0,00569200,0,0,0,0.0519,0.30000001192092,36.5400009155273,0.93000000715255,61.310001373291,0.4552,0.6154,1,NULL,NULL,1,AL,254,0.3504,0.6496,0.0157,0,0.0079,0.6575,0.0118,0,0,0,0.3071,31.460265,-86.964797,2024-06-13
NULL,24.325904121,7178,Mobile,1,10415,151679,0.6059714045,0.4853977845,PrivacySuppressed,1,0,2,Bishop State Community College,www.bishop.edu/,27611,0,00103000,0,0,0,0.0178,1.07000005245208,46.3800010681152,1.25,50.0699996948242,0.4802,0.4354,2,NULL,NULL,1,AL,1885,0.3252,0.6748,0.0302,0.0058,0.0122,0.6727,0.0292,0.0016,0.0164,0.0159,0.2159,30.693972,-88.056982,2024-06-13
0.8387,21.151869159,9220,Birmingham,2,51314,332869066,0.6588785047,0.1380552221,19500,0,0,1,Samford University,www.samford.edu/,54742,0,00103600,0.0553,0,0.0033,0.1842,1.69000005722045,14.6999998092651,3.25,80.9100036621093,0.1149,0.9898,3,54,1236,3,AL,3604,0.333,0.667,0.0233,0.0011,0.0111,0.0602,0.0402,0.0006,0.0108,0.0014,0.8513,33.464128,-86.791799,2024-06-13
NULL,22.368530885,6739,Tuscaloosa,1,14409,NULL,0.5901502504,0.4763044519,PrivacySuppressed,1,0,2,Shelton State Community College,www.sheltonstate.edu/,33355,0,00569100,0,0,0,0.0934,0.62999999523162,36.8499984741211,1.35000002384185,60.9099998474121,0.381,0.5,2,NULL,NULL,2,AL,4018,0.3868,0.6132,0.0204,0.004,0.0067,0.4124,0.0329,0.0005,0.0045,0.0045,0.5142,33.120531,-87.56148,2024-06-13
NULL,23.65647365,7150,Boaz,1,13481,2605005,0.627195836,0.5326251897,9000,0,0,2,Snead State Community College,www.snead.edu/,33215,0,00103800,0,0,0,0.1501,0.25999999046325,4.28999996185302,5.59000015258789,90.7600021362304,0.3892,0.3185,2,NULL,NULL,2,AL,1537,0.3722,0.6278,0.0351,0.0033,0.0059,0.067,0.1757,0.0026,0.0059,0.013,0.6916,34.201495,-86.169897,2024-06-13
0.7078,21.947266881,7494,Mobile,1,22139,470288000,0.6229367631,0.334257975,24929,0,0,1,University of South Alabama,www.southalabama.edu/,45018,0,00105700,0.1007,0.0929,0.0063,0.1002,1.46000003814697,24.6800003051757,1.70000004768371,71.4300003051757,0.3672,0.5766,3,NULL,1132,3,AL,8631,0.3871,0.6129,0.0431,0.0066,0.0393,0.2233,0.0467,0.0013,0.0111,0.0273,0.6013,30.696033,-88.178711,2024-06-13
0.7152,19.902140673,5519,Mobile,2,56502,17236188,0.6452599388,0.2516339869,27000,0,0,1,Spring Hill College,https://www.shc.edu/,51166,0,00104100,0.0909,0.0041,0.0041,0.2438,1.75999999046325,22.5400009155273,4.75,72.6600036621093,0.3648,0.7748,3,30,1019,3,AL,989,0.4146,0.5854,0.0192,0.0061,0.0162,0.1405,0.0849,0.001,0.0576,0.0455,0.6289,30.694751,-88.138199,2024-06-13
0.758,21.027729636,5110,Tuscaloosa,2,24540,18932197,0.4610051993,0.4105058366,29067,1,0,1,Stillman College,https://stillman.edu/,34087,0,00104400,0.1639,0,0.0082,0.2541,1.44000005722045,49.0499992370605,4.44000005722045,45.75,0.7433,0.5542,3,66,NULL,3,AL,721,0.4341,0.5659,0,0.0055,0.0014,0.9279,0.0055,0,0,0,0.0596,33.200006,-87.585278,2024-06-13
NULL,21.151639344,6315,Talladega,2,22696,2561968,0.4897540984,0.3980582524,28500,1,0,1,Talladega College,www.talladega.edu/,30032,0,00104600,0.007,0,0.007,0.2797,1.07000005245208,52.1399993896484,4.71000003814697,43.0900001525878,0.7167,0.5181,3,76,NULL,3,AL,1144,0.493,0.507,0.014,0.0026,0.0009,0.8444,0.0463,0.0009,0.0524,0.0087,0.0297,33.433472,-86.112704,2024-06-13
NULL,24.243680485,6674,Montgomery,1,12098,NULL,0.5389282103,0.4304399524,PrivacySuppressed,1,0,2,H Councill Trenholm State Community College,www.trenholmstate.edu/,28768,0,00573400,0,0,0,0.0444,0.63999998569488,53.6800003051757,1.20000004768371,44.1199989318847,0.595,0.4667,2,NULL,NULL,1,AL,1522,0.3955,0.6045,0.0184,0.0026,0.0118,0.7398,0.0322,0.0013,0.002,0.0092,0.1827,32.350109,-86.343057,2024-06-13
0.9527,25.749796913,7194,Troy,1,21376,152060888,0.6510154346,0.3898457122,25000,0,0,1,Troy University,www.troy.edu/,41691,0,00104700,0.051,0,0.0049,0.1979,1.07000005245208,34,2.81999993324279,62.0200004577636,0.4028,0.4692,3,NULL,1082,3,AL,10916,0.3499,0.6501,0.0407,0.0029,0.0063,0.3269,0.0453,0.0012,0.0178,0.0292,0.5297,31.800672,-85.957094,2024-06-13
0.342,19.723193916,7398,Tuskegee,2,41991,123415957,0.6509505703,0.2306438468,27000,1,0,1,Tuskegee University,www.tuskegee.edu/,43878,0,00105000,0.0019,0.1962,0.0189,0.1189,2.84999990463256,47.1599998474121,8.98999977111816,42.8499984741211,0.1318,0.886,3,NULL,1080,3,AL,2184,0.3736,0.6264,0.0302,0.0041,0.006,0.9093,0.0041,0.0009,0,0.0375,0.0078,32.4309,-85.708492,2024-06-13
NULL,23.368186323,7015,Jasper,1,15406,226601,0.6496531219,0.5308083663,PrivacySuppressed,0,0,2,Bevill State Community College,www.bscc.edu/,33076,0,00573300,0,0,0,0.0268,0.25,15.539999961853,1.12000000476837,82.7399978637695,0.3288,0.4524,1,NULL,NULL,2,AL,2291,0.3684,0.6316,0.0323,0.0013,0.0044,0.1855,0.0271,0,0,0.017,0.7324,33.836929,-87.266406,2024-06-13
0.6905,25.107503075,9370,Anchorage,1,20548,60842848,0.5987699877,0.3891938746,20210,0,0,1,University of Alaska Anchorage,www.uaa.alaska.edu/,49846,0,01146200,0,0.0397,0.0043,0.1446,4.26000022888183,4.17999982833862,5.09000015258789,73.6600036621093,0.1999,0.5076,3,NULL,NULL,3,AK,7284,0.3937,0.6063,0.124,0.0563,0.0951,0.0339,0.1001,0.0347,0.0177,0.0439,0.4942,61.190163,-149.82619,2024-06-13
0.6469,25.450308815,9570,Fairbanks,1,19621,114179961,0.5940482875,0.3988326848,20291,0,0,1,University of Alaska Fairbanks,www.uaf.edu/,46150,1,00106300,0.0452,0.0687,0.0038,0.1497,2.49000000953674,4.67999982833862,4.67999982833862,69.3499984741211,0.2178,0.5811,3,NULL,1169,3,AK,4108,0.4092,0.5908,0.1083,0.1446,0.0243,0.037,0.0859,0.0063,0.0131,0.0562,0.5241,64.85756,-147.823146,2024-06-13
0.5625,26.966861598,8436,Juneau,1,16275,6773153,0.6978557505,0.3951434879,19111,0,0,1,University of Alaska Southeast,www.uas.alaska.edu/,41500,1,00106500,0.0583,0,0.0047,0.1888,3.58999991416931,1.35000002384185,4.61999988555908,73.9300003051757,0.1634,0.5114,1,NULL,NULL,3,AK,999,0.3183,0.6817,0.1271,0.1221,0.04,0.009,0.0801,0.017,0.005,0.037,0.5626,58.384846,-134.638255,2024-06-13
0.9603,25.582191781,6497,Anchorage,2,38278,78389954,0.6301369863,PrivacySuppressed,23500,0,0,1,Alaska Pacific University,www.alaskapacific.edu/,47105,1,00106100,0,0,0,0.3333,4.1100001335144,4.44999980926513,6.88999986648559,73.1299972534179,0.4103,0.4804,3,71,NULL,3,AK,347,0.2219,0.7781,0.1354,0.2334,0.049,0.0317,0.1037,0.0115,0.0029,0.1268,0.3055,61.190968,-149.804168,2024-06-13
NULL,26.168539326,NULL,Seward,1,NULL,NULL,0.2865168539,0.4413793103,PrivacySuppressed,0,0,3,Alaska Vocational Technical Center,www.avtec.edu/,46020,0,03160300,0,0,0,0.1222,2.26999998092651,1.70000004768371,2.6800000667572,54.9500007629394,0.0487,NULL,1,NULL,NULL,1,AK,259,0.7452,0.2548,0.0772,0.2471,0.0154,0.0039,0.0232,0.0039,0,0.1429,0.4865,60.110626,-149.444487,2024-06-13
0.8819,24.7478311,11668,Tempe,1,26992,821111133,0.5568306611,0.3813179205,19500,0,0,1,Arizona State University Campus Immersion,www.asu.edu/,58967,0,00108100,0.0436,0.091,0.013,0.2322,2.90000009536743,3.49000000953674,19.2000007629394,78.7600021362304,0.3276,0.7237,3,NULL,NULL,3,AZ,64216,0.5032,0.4968,0.0506,0.0114,0.0837,0.044,0.262,0.0019,0.0618,0.0209,0.4637,33.417721,-111.934383,2024-06-13
NULL,23.218195266,7480,Yuma,1,15598,3704793,0.5322978304,0.6107646866,4826,0,1,2,Arizona Western College,https://www.azwestern.edu/,33960,0,00107100,0.0299,0.0092,0.0061,0.0489,1.08000004291534,2.75,61.0499992370605,62.8400001525879,0.4027,0.3269,2,NULL,NULL,1,AZ,7388,0.4119,0.5881,0.0149,0.0095,0.0072,0.0119,0.6913,0.0011,0.0138,0.1331,0.1174,32.689306,-114.495968,2024-06-13
0.8727,21.308737695,11400,Tucson,1,27985,983848320,0.5628539071,0.3140729569,19620,0,1,1,University of Arizona,https://www.arizona.edu/,59805,0,00108300,0.0368,0.068,0.011,0.1477,3.15000009536743,3.34999990463256,22.5200004577636,77.5100021362304,0.2868,0.7586,3,NULL,1230,3,AZ,36560,0.4398,0.5602,0.0492,0.0128,0.0502,0.0406,0.2842,0.002,0.0453,0.0195,0.4963,32.232672,-110.950815,2024-06-13
NULL,25.708389262,6834,Coolidge,1,10402,5312165,0.5983221477,0.498192045,10010,0,1,2,Central Arizona College,www.centralaz.edu/,35797,0,00728300,0.0747,0,0,0.0447,0.98000001907348,3.26999998092651,32.7099990844726,66.9899978637695,0.3356,1,2,NULL,NULL,1,AZ,4388,0.3687,0.6313,0.0431,0.0367,0.0201,0.0624,0.3731,0.0034,0.01,0.0424,0.4088,32.957092,-111.652501,2024-06-13
NULL,24.1831972,6461,Sierra Vista,1,12103,14254661,0.5676779463,0.4862385321,6750,0,1,2,Cochise County Community College District,https://www.cochise.edu/,35632,0,00107200,0.0174,0.0046,0.0005,0.0179,1.72000002861022,4.94000005722045,37.9700012207031,74.3099975585937,0.3814,0.3913,2,NULL,NULL,2,AZ,2922,0.4179,0.5821,0.0428,0.0089,0.0127,0.053,0.4942,0.0031,0.0168,0.0089,0.3597,31.564597,-110.246946,2024-06-13
NULL,24.151447661,8011,Thatcher,1,16509,8024464,0.5723830735,0.3934707904,PrivacySuppressed,0,0,2,Eastern Arizona College,www.eac.edu/,37662,0,00107300,0.0409,0,0.0014,0.0586,0.87999999523162,3.38000011444091,22.6499996185302,66.4400024414062,0.2113,0.3398,2,NULL,NULL,1,AZ,3187,0.4073,0.5927,0.0144,0.0624,0.0094,0.021,0.2294,0.0041,0.0069,0.037,0.6153,32.843664,-109.76234,2024-06-13
